"AnimalID","sdAll","sdNoMix","baseAll","baseNoMix"
"NA14021","mixmig","migrant","mixmig","migrant"
"NA14022","mixmig","migrant","mixmig","migrant"
"NA14026","resident","resident","resident","resident"
"NA14027","mixmig","disperser","mixmig","disperser"
"NA14030","mixmig","nomad","mixmig","nomad"
"NA14035","mixmig","migrant","mixmig","migrant"
"NA14040","nomad","nomad","nomad","nomad"
"NA14049","mixmig","disperser","mixmig","disperser"
"NA14051","disperser","disperser","disperser","disperser"
"NA14060","mixmig","disperser","mixmig","disperser"
"NA14062","mixmig","disperser","mixmig","disperser"
"PM120003","mixmig","migrant","mixmig","migrant"
"PM120006","mixmig","migrant","mixmig","migrant"
"PM120013","migrant","migrant","migrant","migrant"
"PM120019","mixmig","migrant","mixmig","migrant"
"PM120022","mixmig","migrant","mixmig","migrant"
"PM120023","migrant","migrant","migrant","migrant"
"PM120025","mixmig","migrant","mixmig","migrant"
"PM120030","mixmig","migrant","mixmig","migrant"
"PM120034","mixmig","disperser","mixmig","disperser"
"PM120040","mixmig","migrant","mixmig","migrant"
"PM120041","mixmig","resident","mixmig","resident"
"PM120042","mixmig","migrant","mixmig","migrant"
"PM120045","mixmig","migrant","mixmig","migrant"
"PM120061","mixmig","migrant","mixmig","migrant"
"PM120063","mixmig","migrant","mixmig","migrant"
"PM120066","mixmig","disperser","mixmig","disperser"
"PM120067","migrant","migrant","migrant","migrant"
"PM120069","mixmig","migrant","mixmig","migrant"
"PM120070","mixmig","migrant","mixmig","migrant"
"PM120075","mixmig","migrant","mixmig","migrant"
"PM120076","mixmig","migrant","mixmig","migrant"
"PM120078","migrant","migrant","migrant","migrant"
"PM120080","migrant","migrant","migrant","migrant"
"PM120084","migrant","migrant","migrant","migrant"
"PM120088","mixmig","migrant","mixmig","migrant"
"PM120094","mixmig","migrant","mixmig","migrant"
"PM120095","disperser","disperser","disperser","disperser"
"PM120098","mixmig","migrant","mixmig","migrant"
"PM120102","mixmig","disperser","mixmig","disperser"
"SC11003","mixmig","migrant","mixmig","migrant"
"SC11015","mixmig","migrant","mixmig","migrant"
"SC11023","migrant","migrant","migrant","migrant"
"SC11030","migrant","migrant","migrant","migrant"
"SC11031","mixmig","migrant","mixmig","migrant"
"SC11033","resident","resident","resident","resident"
"SC11039","disperser","disperser","disperser","disperser"
"SC11042","migrant","migrant","migrant","migrant"
"SC11043","mixmig","migrant","mixmig","migrant"
"SC11045","mixmig","migrant","mixmig","migrant"
"SC11047","mixmig","migrant","mixmig","migrant"
"SC11050","migrant","migrant","migrant","migrant"
"SC11055","mixmig","migrant","mixmig","migrant"
"SC11057","mixmig","resident","mixmig","resident"
"SC11069","mixmig","migrant","mixmig","migrant"
"SC11073","migrant","migrant","migrant","migrant"
"SC11074","nomad","nomad","nomad","nomad"
"SC11078","mixmig","nomad","mixmig","nomad"
"SC11079","mixmig","migrant","mixmig","migrant"
"SC11080","mixmig","migrant","mixmig","migrant"
"SC11087","mixmig","migrant","mixmig","migrant"
"SC11097","migrant","migrant","migrant","migrant"
"SC202","migrant","migrant","migrant","migrant"
